"PROBEID","ENTREZID","SYMBOL","GSM894405_HD1.CEL","GSM894406_HD2.CEL","GSM894407_HD3.CEL","GSM894408_MM1.CEL","GSM894409_MM2.CEL","GSM894410_MM3.CEL","GSM894411_MM4.CEL"
"214402_s_at","9814","SFI1","3.67752325256627","4.11363079942255","4.1501537762285","3.58871514858474","4.44596231113148","4.01517674923739","4.1501537762285"
"214403_x_at","25803","SPDEF","6.31767085631574","6.12077903750335","5.92083340784228","6.10547088737288","6.00069677030331","6.12077903750335","6.26211724575031"
"214409_at","10737","RFPL3S","2.03893983852868","1.9724118412734","1.90137059443511","1.92831231677978","1.92831231677978","1.92831231677978","1.92831231677978"
"214411_x_at","440387","CTRB2","4.08188410099128","3.8348919620869","3.70473966063901","4.01061372466928","3.62933230305233","3.8348919620869","3.8348919620869"
"214418_at","196993","CT62","2.78238112340501","2.77081520935494","3.00509219845887","2.9535898998003","3.00509219845887","2.9535898998003","2.9535898998003"
"214422_at","5887","RAD23B","2.91882131886224","3.16061958610784","3.0052915411323","3.29567349518257","3.18943952883501","3.19676812713809","2.77170907131691"
"214425_at","259","AMBP","3.83579760111141","3.51110835401604","3.40565697370594","3.5559913603667","3.51110835401604","2.97223350005347","3.3382145266775"
"214426_x_at","10036","CHAF1A","5.55899945475711","6.14104504693478","6.23812078459465","4.44617597298538","5.34787791068508","4.82937985331908","4.91314509193886"
"214427_at","4839","NOP2","6.94385954284566","6.97904334032129","7.2129209407771","6.75624524023219","6.86743073654183","6.51327785529036","6.65457228225361"
"214430_at","2717","GLA","6.76526640942734","7.26107377692824","7.5429322997319","7.2499688708717","7.534852307286","7.36266867803867","7.43824614907355"
"214431_at","8833","GMPS","7.84562195792023","7.74770345007575","8.35800272923099","7.29976251794863","7.93754510828872","7.41396746850612","7.01668530883536"
"214432_at","478","ATP1A3","3.45724110856169","3.29567349518257","3.28793729641996","3.01626217358631","3.16445912351189","3.29567349518257","3.46258651848647"
"214433_s_at","8991","SELENBP1","6.1100441190626","5.80355576227694","6.1913254828518","6.5113433408489","6.73969138749994","7.1116256550017","6.92749379890422"
"214434_at","259217","HSPA12A","5.6075062376209","6.26163486655074","5.30473371765924","5.66858708980765","5.18891977679481","5.58100202259492","5.51794368674012"
"214435_x_at","5898","RALA","8.56502640002003","8.77158459442082","8.24611599034708","8.23628036320113","8.57526837690592","8.32390962392804","7.86047647195856"
"214436_at","25827","FBXL2","6.56233456316572","7.15276105121676","6.65223803632331","7.15276105121676","7.15276105121676","7.28889503304634","7.44747505188926"
"214437_s_at","6472","SHMT2","8.5262681581921","8.176922038584","7.61374078293341","8.52043209818662","8.26550034575259","8.25784741252043","8.17810392597603"
"214438_at","3142","HLX","5.03176294492408","5.42607013898412","5.83527271058139","6.15821373990842","5.81864146582563","5.80601278933523","5.85826074758425"
"214439_x_at","274","BIN1","7.40508601650765","7.25525520061695","7.62213418804832","7.61268816547422","7.76578621864783","7.78517568168379","7.53356208549284"
"214440_at","9","NAT1","6.17300956781334","6.82664625246659","6.57856213342882","6.50207125532261","6.5829833081622","6.67661949108088","7.0071374346871"
"214449_s_at","23433","RHOQ","8.22543382485678","8.66232694735192","7.93663778611762","8.94003194646357","8.68319495020708","9.04637369113535","8.79993765021755"
"214450_at","1521","CTSW","4.66211385962693","4.5324296155417","4.54264913437995","4.54264913437995","4.54264913437995","4.48690248224882","4.54264913437995"
"214452_at","586","BCAT1","6.71274557776902","5.9103982951109","6.33750399503414","6.84769576707366","6.3863980605164","6.3331963430066","5.5040835637464"
"214453_s_at","10561","IFI44","6.12255762439766","7.41190888848813","5.52128575148862","8.80950390595043","7.10394229721774","7.63654339740353","7.91828612108801"
"214454_at","9509","ADAMTS2","7.43591277910637","7.85187527439345","7.71679028193858","8.49823178763701","8.30916592782096","8.29775652626473","8.87042524860081"
"214457_at","3199","HOXA2","3.804708314","3.83471762986219","3.81581705380574","4.66601893919547","4.59035823676717","4.47138552260272","4.13698832973485"
"214461_at","3929","LBP","3.81337796264606","3.29567349518257","7.96260928115833","5.22657235636198","5.51513667571396","6.98127135873462","5.01207766661456"
"214462_at","9306","SOCS6","4.54629105712166","5.08213095355561","4.99409819501447","4.47298758250731","4.29522155644318","4.15121412899187","3.76309304337824"
"214464_at","8476","CDC42BPA","8.4079849383671","8.0694118594808","8.12713116008476","7.92713917093216","7.69454392891439","7.84578995714247","8.44997670010628"
"214466_at","2702","GJA5","3.40305056681756","3.16252014031668","3.03641663735315","3.02444345315246","3.09222458520885","3.09222458520885","3.37623795087304"
"214467_at","8477","GPR65","2.43169406497837","2.39239291897798","2.30433309205542","2.26635985235249","2.30433309205542","2.26315122104339","2.30433309205542"
"214468_at","4624","MYH6","3.52259116492745","3.71198127738107","3.57895270290281","3.73599366178712","3.97638038403366","3.71198127738107","3.51110835401604"
"214469_at","3012","H2AC8","2.50660563556935","2.4988973923506","2.59173722042225","2.55505624464976","2.76018982776944","2.68634188907672","2.35192895985378"
"214476_at","7032","TFF2","3.59622370949667","3.59622370949667","3.68050402315092","3.37208635230562","3.59622370949667","3.59622370949667","3.53467512885885"
"214477_at","4298","MLLT1","2.85325491238062","2.68634188907672","3.05283409261274","3.10128470169315","3.21440170599187","3.10820507944957","3.14056439260034"
"214478_at","6694","SPP2","3.50923626357462","3.46912610564996","3.46912610564996","3.46912610564996","3.46912610564996","3.38274779006502","3.46912610564996"
"214481_at","8336","H2AC17","3.07867425344844","2.61500002720063","2.6731967534816","2.76912882999852","2.67713657574452","2.8821533340183","2.76912882999852"
"214482_at","7597","ZBTB25","5.03902927191134","4.93738085224158","5.32654554903021","5.26373093358974","4.94302222232412","5.06994533273586","5.06994533273586"
"214483_s_at","27236","ARFIP1","5.31668842471166","5.68003049315838","5.66464034904121","5.95422765933562","5.66869766667923","5.68003049315838","5.85546810666887"
"214484_s_at","10280","SIGMAR1","7.3630139896223","7.52635999574622","8.08147133217371","7.00350346961423","7.8473515697191","7.08004924800194","7.0455591778009"
"214485_at","4956","ODF1","4.21690476321464","4.2061089252285","3.49541893123042","4.00582139888497","3.68586938818371","3.73320102335071","3.81926561857408"
"214489_at","2488","FSHB","3.29567349518257","3.40043258268","3.28686903796374","3.40043258268","3.54140577182835","3.52724435317294","3.55389909238653"
