row ID,row m/z,row retention time,row identity (main ID),120.mzXML Peak area,108.mzXML Peak area,114.mzXML Peak area,116.mzXML Peak area,122.mzXML Peak area,124.mzXML Peak area,138.mzXML Peak area,136.mzXML Peak area,142.mzXML Peak area,144.mzXML Peak area,146.mzXML Peak area,140.mzXML Peak area,
240,146.02707213484302,1.4809818,Diatretin 2: 0.220,1637.1641,3492.462,808.37354,3422.0044,1242.3604,2829.475,906.9364,1288.3489,1233.7142,3285.2131,1384.9355,4155.4424,
242,192.03270681510068,1.4820194,,1777.3871,4014.5527,929.1493,3836.2231,1364.2126,3147.4285,940.8429,1392.7046,3037.2395,3702.3433,1540.908,4721.798,
243,267.1373291296129,1.484688,Dienestrol: 0.922,1097.6996,0,1930.3529,0,637.2943,0,2035.3267,1067.7388,217.68376,0,622.4866,0,
245,160.1336032661861,1.4902371,DL-2-Aminooctanoic acid: 0.917,88031.03,132758.28,0,181155.55,96902.06,137715.75,101899.42,71546.11,0,212550.17,0,97194.61,
248,293.00919299157033,1.4968681,,857.5257,1325.7909,1148.4996,1568.1191,1237.677,1269.461,1241.4065,898.5033,866.6331,802.5745,1088.9658,1580.1144,
250,150.0341811072548,1.498685,2-Methylbenzothiazole: 0.330,931.99524,1314.458,0,949.83704,690.9816,673.5937,0,680.75165,683.82623,888.1667,753.60266,818.7717,
251,306.99805001865457,1.4992282,,489.46783,525.2887,672.8535,666.3329,658.0675,563.06494,830.97906,594.5208,0,0,622.77405,671.4267,
253,321.9728435793624,1.5013515,,820.7197,872.67615,1166.087,1125.1494,1184.6543,987.76624,1432.3306,840.0085,607.0351,579.06824,969.2451,1140.8651,
256,285.9284911514582,1.5075598,,563.2545,661.78186,607.8191,665.76227,655.5264,748.49066,633.9246,491.19235,660.67377,546.75275,528.39874,808.8039,
257,338.1017228222145,1.507564,S-Hydroxymethylglutathione: 0.993,493.2794,478.49088,659.01544,585.45953,809.03784,228.14763,984.7208,590.7237,292.54855,440.1665,424.27463,421.39142,
258,112.96727588406627,1.5092875,,660.5482,859.34393,530.46,943.18695,673.0467,938.98505,606.58875,590.757,998.4532,775.37775,601.6017,820.93365,
259,363.9842877590227,1.5097977,,610.43,899.95624,0,802.05347,497.73523,0,0,525.18115,0,0,530.3197,659.0631,
